year,Heat
1887,4.53808382059963e-06
1888,4.655513358946857e-06
1889,4.766275131779756e-06
1890,4.886874129234846e-06
1891,5.110899370005687e-06
1892,5.194393062473475e-06
1893,5.241695232273612e-06
1894,5.324648554960731e-06
1895,5.394207554283119e-06
1896,5.408276852644381e-06
1897,5.539116370657991e-06
1898,5.551556439188841e-06
1899,5.8222167353960685e-06
1900,6.063627811922093e-06
1901,6.124927884749403e-06
1902,6.347850038374807e-06
1903,6.699992094841686e-06
1904,7.029807290694277e-06
1905,7.431517263155131e-06
1906,7.639877172290913e-06
1907,7.98110568211996e-06
1908,8.296896729526842e-06
1909,8.65047487812782e-06
1910,9.023030413248176e-06
1911,9.39661315767028e-06
1912,9.723189188142506e-06
1913,1.0210887662002019e-05
1914,1.0612083964848093e-05
1915,1.117776121515947e-05
1916,1.1483785134000105e-05
1917,1.1830015734761088e-05
1918,1.2137984802913187e-05
1919,1.2369403001295204e-05
1920,1.2457573055663878e-05
1921,1.2539053256789754e-05
1922,1.2564922404375725e-05
1923,1.2950196703189118e-05
1924,1.2842111313407908e-05
1925,1.3155205644060125e-05
1926,1.2989967867075133e-05
1927,1.3060005455502375e-05
1928,1.2889168699205453e-05
1929,1.2939737903902174e-05
1930,1.3841634686936491e-05
1931,1.3902158051288488e-05
1932,1.3466596621063737e-05
1933,1.365692917586005e-05
1934,1.3447837643200597e-05
1935,1.3452995777437796e-05
1936,1.3147757921875122e-05
1937,1.1896052196139603e-05
1938,1.1782756571067563e-05
1939,1.2115717514201865e-05
1940,1.2192789004724805e-05
1941,1.270257676618972e-05
1942,1.292978205518531e-05
1943,1.3332077937125827e-05
1944,1.3476716178826922e-05
1945,1.38280369615781e-05
1946,1.3996672870624544e-05
1947,1.4271209952961986e-05
1948,1.4134648413996079e-05
1949,1.4379564942958365e-05
1950,1.451415612661679e-05
1951,1.4850471805922488e-05
1952,1.4938113313941617e-05
1953,1.4735459704492574e-05
1954,1.4934326178003435e-05
1955,1.523130582167401e-05
1956,1.5473201788803897e-05
1957,1.5772539882163983e-05
1958,1.605617152173571e-05
1959,1.6555100436172715e-05
1960,1.6940989163621062e-05
1961,1.6899482423988437e-05
1962,1.68060035191177e-05
1963,1.6580254590995276e-05
1964,1.620026289726541e-05
1965,1.588167911644892e-05
1966,1.503636095938938e-05
1967,1.4945643280433224e-05
1968,1.4738595902079915e-05
1969,1.4721376828674693e-05
1970,1.4630588079203985e-05
1971,1.4753001518589112e-05
1972,1.5011966362570612e-05
1973,1.5721313762436955e-05
1974,1.6187220613314173e-05
1975,1.736353910278662e-05
1976,1.829284311887542e-05
1977,1.9003406643085846e-05
1978,1.969262796462447e-05
1979,2.0343758348774698e-05
1980,2.106328221478699e-05
1981,2.1002588255214505e-05
1982,2.0585952630166764e-05
1983,2.02485488054143e-05
1984,2.004949055844918e-05
1985,1.946124549639145e-05
1986,1.870024347486573e-05
1987,1.7671657977708882e-05
1988,1.7067637340265458e-05
1989,1.612352402194769e-05
1990,1.5131167726524706e-05
1991,1.4396847551064898e-05
1992,1.4080455782407495e-05
1993,1.3741967969898334e-05
1994,1.3204877437341825e-05
1995,1.2646776277896216e-05
1996,1.2207817495176901e-05
1997,1.1946489134321123e-05
1998,1.1441913686992069e-05
1999,1.1187215932295658e-05
2000,1.0698572233585374e-05
2001,1.031250329625826e-05
2002,9.962629909361048e-06
2003,9.664243147459014e-06
2004,9.440093630733567e-06
2005,9.110049047324407e-06
2006,8.450764978208878e-06
2007,8.184419454794676e-06
2008,8.391655228479067e-06
2009,8.865734928674232e-06
2010,9.287373294292983e-06
2011,9.364504421682796e-06
2012,9.74850153007927e-06
2013,1.0275362131194146e-05
2014,1.052438944628063e-05
2015,1.0436696356919128e-05
2016,1.0178144813315676e-05
2017,9.992240696495477e-06
2018,1.0049121920019389e-05
2019,1.011549079521501e-05
